slug,name,city,country,industry,website,founded_year,founder_names
atami-sushi-restaurant-denmark,Atami Sushi Restaurant Denmark,Odense,Denmark,Restaurant / Food & Beverage,,,Tony Mathew
little-india-boadilla,Little India Boadilla,Boadilla del Monte,Spain,Restaurant / Indian / South Indian,https://restaurantelittleindia.com/,,Jeejo Puthenveettil George
indian-aderezo,Indian Aderezo,Valladolid,Spain,Restaurant / Indian / South Indian,https://indianaderezo.com/,,Shiju Ambazhakkadan Devassykutty
prosi-pallikunnel,PROSI Pallikunnel KG / PROSI Exotic Supermarket,Vienna,Austria,Kerala Grocery / South Asian Food Retail,https://www.prosi.at/,,Dr. Augustin (Prince) Pallikunnel
sonnentag-kerala-ayurveda-shop,"Sonnentag, Kerala Ayurveda Shop GmbH",Vienna,Austria,Wellness / Ayurveda / Consumer Health,https://www.keralaayurvedashop.at/,,Lal Karinkada Pushkaran;Julia Karinkada
karinkada-ayurveda,Karinkada Ayurveda GmbH,Purkersdorf,Austria,Manufacturing / Ayurveda / Consumer Products,https://www.karinkadaayurveda.at/,,Lal Karinkada Pushkaran;Julia Karinkada
thinnan,thinnan,Helsinki,Finland,Food Technology,https://www.thinnan.com/,,Annu Mathew;Kevin Jacob;Vishnu Aravind
venturevillage,VentureVillage Oy,Espoo,Finland,Education / Research Facilitation,https://venturevillage.world/,,Unnikrishnan S. Kurup;Dr. Anup Jinadevan
gravito,Gravito Oy,Espoo,Finland,AI / Software / Digital,https://gravito.fi/,,Unnikrishnan S. Kurup;Antti Kuronen
saraswati,Saraswati,Helsinki,Finland,Healthcare / Ayurveda / Wellness,https://www.saraswati.fi/,,Terry Thomas
kerala-restaurant-lisbon,Kerala Restaurant,Lisbon,Portugal,Restaurant / Kerala Food,https://keralarestaurant.pt/,,Vijeesh Rajan;Thrinisha Mohandas
costa-do-malabar,Costa do Malabar,Lisbon,Portugal,Restaurant / Kerala Food,https://www.costadomalabar.com/,,Sunilkumar Bhaskaran
swaad,Swaad,Porto,Portugal,Restaurant / South Indian / Kerala Food,https://swaadporto.com/,,Rishi Jacob
curry-clubs,Curry Clubs,Albufeira,Portugal,Restaurant / Indian / South Indian,https://www.curryclubs.com/,,Alex;Mary
hello-coop,Hellō,Lisbon,Portugal,AI / Software / Digital,https://hello.coop/,,Rohan Harikumar
