id,slug,name,website,industry,size,founded_year,country,city,location,description,status,verified,created_at,contact_email,email_type,email_source,email_confidence,email_source_url,email_search_status
1,veda-naturals,Veda Naturals GmbH,https://www.vedanaturals.de,Wellness / Ayurveda / Consumer Health,,2021,Germany,Berlin,"Berlin, Germany","Wellness / Ayurveda / Consumer Health company founded by Fayez Ali in Berlin, Germany.",approved,0,2026-08-25 20:24:32,info@vedanaturals.de,Business/public contact,Official website,High,https://vedanaturals.de/pages/contact-us,Found
2,spice-route,Spice Route,,Restaurant / Food & Beverage,,,Germany,Munich,"Munich, Germany","Restaurant / Food & Beverage company founded by Binoy Sasidharan in Munich, Germany.",approved,0,2026-08-25 20:24:32,Contact@thespiceroute.de,Business/public contact,Official website,High,https://thespiceroute.de/contact/,Found
3,pflege-de-consultancy,Pflege-DE Consultancy,https://pflege-de.com,Healthcare Recruitment / HR,,,Germany,Bad Rappenau,"Bad Rappenau, Germany","Healthcare Recruitment / HR company founded by Johny Joseph, Jaisemon Jacob in Bad Rappenau, Germany.",approved,0,2026-08-25 20:24:32,info@pflege-de.com,Business/public contact,Official website,High,https://pflege-de.com/impressum,Found
4,marble-imaging,Marble Imaging GmbH,https://www.marble-imaging.de,Aerospace / Earth Observation,,2023,Germany,Bremen,"Bremen, Germany","Aerospace / Earth Observation company founded by Dr. Gopika Suresh, Robert Hook, Alexander Epp, Dr. Raul Scarlat in Bremen, Germany.",approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
5,ready-to-care,Ready to Care,https://www.anila-thekkan.com,Healthcare Recruitment / Training,,,Germany,Düsseldorf,"Düsseldorf, Germany","Healthcare Recruitment / Training company founded by Anila Thekkan in Düsseldorf, Germany.",approved,0,2026-08-25 20:24:32,care@anila-thekkan.com,Business/public contact,Official website,High,https://www.anila-thekkan.com/,Found
6,yoga-vihar-berlin,Yoga Vihar Berlin,https://yogavihar.de,Wellness / Yoga / Ayurveda,,,Germany,Berlin,"Berlin, Germany","Wellness / Yoga / Ayurveda company founded by Sivan Namboothiri in Berlin, Germany.",approved,0,2026-08-25 20:24:32,info@yogavihar.de,Business/public contact,Official website,High,https://yogavihar.de/,Found
7,markenx,MarkenX.de,,Marketing / Digital,,,Germany,Berlin,"Berlin, Germany","Marketing / Digital company founded by Adarsh Cheruvachundayil in Berlin, Germany.",approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
8,acsia-systems-deutschland,Acsia Systems Deutschland GmbH,https://www.acsiatech.com,Automotive Software / Mobility / AI,,2025,Germany,Munich,"Munich, Germany","Automotive Software / Mobility / AI company founded by Jijimon Aloth Chandran in Munich, Germany.",approved,0,2026-08-25 20:24:32,,,,,,Website found; email not confirmed in current pass
9,hire-and-care,Hire and Care DP GmbH,https://hireandcare.de,Healthcare Recruitment / HR Tech,,2020,Germany,Berlin,"Berlin, Germany","Healthcare Recruitment / HR Tech company founded by Sabarish Saravanan Panicker, Biju Thamarakunnil Subramanian in Berlin, Germany.",approved,0,2026-08-25 20:24:32,info@hireandcare.de,Business/public contact,Official website,High,https://hireandcare.de/contact/,Found
10,eternal-ag,eternal.ag / EHT Eternal Horticulture Technologies GmbH,https://eternal.ag,Agritech / Robotics / AI,,2025,Germany,Cologne,"Cologne, Germany","Agritech / Robotics / AI company founded by Renji Kuncheria John, Sherry Chiramattel Kunjachan in Cologne, Germany.",approved,0,2026-08-25 20:24:32,hello@eternal.ag,Business/public contact,Official website,High,https://eternal.ag/en/imprint,Found
11,navirex,NaviRex GmbH,https://navirex.de,Cleantech / Solar / Circular Economy,,2024,Germany,,Germany,Cleantech / Solar / Circular Economy company founded by Dr. Harikrishnan Anjaly Sukumaran Nair in Germany.,approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
