slug,name,city,country,industry,website,founded_year,founder_names
kallu-and-co,Kallu & Co,Paris,France,Restaurant / Kerala Food,,,Alex Jerry;Grishma Satpathy;Ashik Roy
mama-spice,Mama Spice,Marseille,France,Restaurant / Kerala Food,https://mama-spice.com/,,Devaky Sivadasan
girelle-production,Girelle Production,,France,Media / Creative,,,Vinnie Ann Bose
3-leaves,3 Leaves,Dublin,Ireland,Restaurant / Indian / South Indian,https://3leaves.ie/,,Santhosh Thomas;Milli Mathew
kasi-cafe,Kasi Café,Dublin,Ireland,Restaurant / South Indian / Kerala Food,https://kasikitchen.com/,,Daril Chamakkalayil Thomas;Dipin Chamakkalayil Thomas
indian-spice-kitchen,Indian Spice Kitchen,Cork,Ireland,Restaurant / South Indian / Kerala Food,https://indianspice-kitchen.ie/,,Jessily Panicker;Dinesh John
olivez,Olivez,Dublin,Ireland,Restaurant / South Indian / Kerala Food,https://www.olivez.ie/,,Abraham Mathew
pulari-restaurant,Pulari Restaurant,Dublin,Ireland,Restaurant / South Indian / Kerala Food,https://www.pulari.ie/,,Bijukuttan
kerala-royal-caterers,Kerala Royal Caterers,Ashbourne,Ireland,Catering / Kerala Food,https://www.royalcatersdublin.com/,,Abhilash
smaqo-foods,SMAQO / Smaqo Foods AB,Gothenburg,Sweden,Food Technology,https://smaqo.com/,,Ramkumar Balachandran Nair
search-indie,Search Indie,Stockholm,Sweden,AI / Software / Digital,https://www.searchindie.com/,,Renjith Ramachandran
kerala-kitchen-nykoping,Kerala Kitchen,Nyköping,Sweden,Catering / Home Food / Kerala Snacks,,,Sreekand Bose Vattappallil
