slug,name,founder_names,city,country,industry,website,founded_year,research_confidence,source_url,research_notes,status,verification_status
nila-restaurants-berlin,NILA Restaurants Berlin,Joby Jose; Melvin Babu,Berlin,Germany,Restaurant / South Indian / Kerala Food,https://nilakitchen.de/,2023.0,high,https://nilakitchen.de/; https://de.linkedin.com/company/nila-restaurants; https://www.companyhouse.de/Nila-Enterprises-UG-Berlin,"First-party site explicitly positions Nila around Kerala and South Indian cuisine. Company records identify Joby Jose and Melvin Babu as management. Kerala/Malayali origin of the founders was not independently established, so the Kerala connection is based on the business itself.",pending,partially_verified
malabar-restaurant-burgdorf,Malabar Kerala Restaurant,Shaji Kurian,Burgdorf,Germany,Restaurant / South Indian / Kerala Food,https://malabaronline.eu/,,high,https://malabaronline.eu/,First-party site says executive chef Shaji Kurian had worked in restaurants in Kerala and Italy and describes the restaurant as authentic South Indian cuisine. Strong Kerala connection.,pending,verified
thanima-kerala-restaurant-hamburg,Thanima Kerala Restaurant,,Hamburg,Germany,Restaurant / Kerala Food,https://www.thanimakeralarestaurant-hamburg.de/,,high,https://www.thanimakeralarestaurant-hamburg.de/; https://www.ubereats.com/de-en/store/thanima-kerala-restaurant/N_oFNLVYV8GnOdEHcFO8iA,"Active restaurant explicitly named Thanima Kerala Restaurant at Ludolfstraße 60, Hamburg. Founder/owner Kerala connection not yet identified.",pending,verified
kerala-kueche-ug-hamburg,Kerala Küche UG (haftungsbeschränkt),Soumya Sankaran Padmakshan,Hamburg,Germany,Restaurant / Kerala Food / Catering / Food Retail,,2026.0,high,https://www.webvalid.de/company/Kerala%2BK%C3%BCche%2BUG%2B%28haftungsbeschr%C3%A4nkt%29%2C%2BHamburg/HRB%20200263,"Hamburg commercial-register data says the company operates gastronomic establishments, especially restaurants with South Indian and Kerala specialties, plus takeaway, delivery, catering and food retail. Soumya Sankaran Padmakshan is listed as managing director. Kerala/Malayali origin not independently verified.",pending,partially_verified
foodeza,FOODEZA,Jobins; Christeena,Mühlacker / Stuttgart region,Germany,Food Truck / Kerala Catering,https://foodeza.de/,,high,https://foodeza.de/; https://foodeza.de/catering/kerala.html,First-party site describes FOODEZA as a Kerala food truck and catering business based in Baden-Württemberg and explicitly says it was founded by Jobins and Christeena from Kerala.,pending,verified
kerala-kitchen-sankt-augustin,Kerala Kitchen,,Sankt Augustin,Germany,Catering / Kerala Food,https://keralakitchen.de/,,high,https://keralakitchen.de/,First-party site describes a Kerala catering business in Sankt Augustin/Bonn-Cologne specializing in authentic Kerala cuisine. Founder/owner not identified.,pending,verified
dixons-kitchen-dortmund,Dixon's Kitchen,Dixon Pathrose,Dortmund,Germany,Restaurant / South Indian / Kerala Food,https://www.dixons-kitchen.de/,,high,https://www.dixons-kitchen.de/; https://www.lieferando.de/en/menu/dixons-kitchen,First-party restaurant site offers extensive Kerala/South Indian dishes. Lieferando business details identify Dixon Pathrose as legal representative and Kerala Masala GmbH as the operating company.,pending,partially_verified
jhasvik-duesseldorf,Jhasvik,Prakash Mohan,Düsseldorf,Germany,Restaurant / South Indian / Kerala Food,https://jhasvik.de/,,high,https://jhasvik.de/; https://www.jhasvik-dusseldorf.de/colofon,First-party site identifies Prakash as the owner/founder voice and explicitly includes Kerala among the five South Indian cuisines served. Impressum identifies Prakash Mohan as acting for Jhasvik. Kerala origin is not independently verified.,pending,partially_verified
curry-leaves-kerala-restaurant-hannover,Curry Leaves Kerala Restaurant,,Hannover,Germany,Restaurant / Kerala Food,,,medium,https://www.google.com/maps/search/?api=1&query=Curry+Leaves+Kerala+Restaurant+Hannover,"Current business listing identifies an active restaurant named Curry Leaves Kerala Restaurant at Podbielskistraße 111, Hannover. Founder/owner and Kerala origin require manual verification.",pending,partially_verified
methi-kerala-restaurant-munich,Methi Kerala Restaurant,,Höhenkirchen-Siegertsbrunn / Munich area,Germany,Restaurant / South Indian / Kerala Food,https://methi-restaurant.de/,,high,https://methi-restaurant.de/wp-content/uploads/2025/01/German-Methi-Menu-2.pdf,First-party menu describes Methi as the first Kerala restaurant in Munich and focuses on traditional Kerala/South Indian cuisine. Founder/owner not identified.,pending,verified
kerala-restaurant-munich,Kerala Restaurant,,Munich,Germany,Restaurant / Indian / South Indian,https://www.keralarestaurant.de/,,high,https://www.keralarestaurant.de/; https://www.keralarestaurant.de/en/ueber-uns,"Active restaurant at Prinzregentenplatz 23, Munich. First-party site explicitly uses the Kerala name and serves North and South Indian cuisine. Founder/owner Kerala connection not identified.",pending,verified
kumba-frankfurt,Kumba Indian Restaurant,,Frankfurt am Main,Germany,Restaurant / Indian / South Indian / Kerala Food,https://www.kumbafrankfurt.com/,,high,https://www.kumbafrankfurt.com/; https://www.kumbafrankfurt.com/en/menu-1,"Active Frankfurt restaurant with extensive South Indian and Kerala dishes including Chicken Mappas, Kerala Chicken Roast, Malabar lamb curry, Beef Roast, Kerala parotta and appam. Founder/owner Kerala connection not identified.",pending,verified
nilavara-restaurant-frechen,Nilavara Restaurant UG,,Frechen,Germany,Restaurant / South Indian / Kerala-style Food,https://www.instagram.com/nilavararestaurant/,,medium,https://de.restaurantguru.com/Nilavara-Restaurant-Frechen; https://www.deutsche-dosa.de/,"Active restaurant at Hauptstraße 32, 50226 Frechen. Listed in the Germany dosa directory. Menu/reviews show dosa and South Indian food. Kerala ownership/founder connection requires manual verification.",pending,partially_verified
ammas-food-dortmund,Amma's Food Dortmund,,Dortmund,Germany,Restaurant / South Indian / Catering,https://ammasfood.net/,,medium,https://ammasfood.net/; https://www.deutsche-dosa.de/,"Active South Indian restaurant and catering business at Rheinische Straße 80A, Dortmund. Current site describes Tamil/South Indian cuisine; Kerala ownership connection not established, so included as a discovery candidate rather than a verified Kerala-founded business.",pending,unverified
southern-spice-aachen,The Southern Spice,,Aachen,Germany,Restaurant / South Indian / Kerala-style Food,https://www.thesouthernspice-aachen.de/,,medium,https://www.thesouthernspice-aachen.de/; https://wolt.com/de/deu/aachen/restaurant/the-southern-spice-1,Active Aachen restaurant with Kerala-style Pachakari Kurma and Malabar Parotta plus South Indian dishes. Ownership/founder Kerala connection not established.,pending,unverified
malabar-cafe-brandenburg,Malabar Restaurant & Café,S. Sindhu (listed proprietor),Brandenburg an der Havel,Germany,Restaurant / Café / Indian Food,https://www.restaurant-malabar.de/,,medium,https://www.restaurant-malabar.de/; https://www.gelbeseiten.de/gsbiz/1909c141-c7ef-488a-bb4b-62a11237ec6d,Active restaurant/café at Potsdamer Str. 2. First-party site explains that Malabar is a region in southern India; directory identifies proprietor as S. Sindhu. Kerala/Malayali origin is not independently verified.,pending,partially_verified
german-malayali-store,German Malayali Store,Binish Pappachan Abraham,Leverkusen,Germany,Kerala Grocery / Food Retail / Online Retail,https://www.germanmalayalistore.de/,,high,https://www.germanmalayalistore.de/contact; https://play.google.com/store/apps/details?id=com.german.malayali; https://www.germanmalayalistore.de/category/porotta-frozen-items,"Kerala-focused grocery and online store based in Leverkusen. Offers rice, vegetables, spices, frozen porotta, snacks and sweets. Google Play identifies Binish Pappachan Abraham as the developer and Germany-based operator.",pending,verified
inaivaa-dortmund,Inaivaa,,Dortmund,Germany,Kerala Grocery / South Asian Food Retail,https://www.inaivaa.com/,2023.0,high,https://www.inaivaa.com/de/kerala-lebensmittel-deutschland,"Kerala/Malayali grocery store at Rheinische Str. 79, Dortmund. First-party site states it serves the Malayali community across NRW and beyond and stocks Kerala-specific products and snacks. Founder/owner name not identified.",pending,verified
kerala-kitchen-gmbh-sankt-augustin,Kerala Kitchen GmbH,,Sankt Augustin,Germany,Kerala Catering,https://keralakitchen.de/,,high,https://keralakitchen.de/,"First-party site identifies Kerala Kitchen GmbH and provides Kerala catering menus including Sadya, appam, beef roast, fish curry and Kerala desserts. Founder/owner not identified.",pending,verified
