slug,name,founder_names,city,country,industry,website,founded_year,research_confidence,source_url,research_notes,status,verification_status
veda-naturals,Veda Naturals GmbH,Fayez Ali,Berlin,Germany,Wellness / Ayurveda / Consumer Health,https://www.vedanaturals.de,2021,high,https://www.linkedin.com/posts/vedanaturals_veda-naturals-founder-story-activity-6975438541342306308-yZXK,Co-founder Fayez explicitly describes his home state as Kerala; company born in 2021 in Germany.,pending,needs_manual_verification
spice-route,Spice Route,Binoy Sasidharan,Munich,Germany,Restaurant / Food & Beverage,,,high,https://de.linkedin.com/company/german-bharatham,German Bharatham identifies Binoy Sasidharan as co-founder of Munich's Kerala restaurant Spice Route.,pending,needs_manual_verification
pflege-de-consultancy,Pflege-DE Consultancy,Johny Joseph; Jaisemon Jacob,Bad Rappenau,Germany,Healthcare Recruitment / HR,https://pflege-de.com,,high,https://www.pflege-de.com/en/about/,Company materials identify Kerala-origin founder Johny Joseph and Jaisemon Jacob in the German healthcare recruitment business.,pending,needs_manual_verification
marble-imaging,Marble Imaging GmbH,Dr. Gopika Suresh; Robert Hook; Alexander Epp; Dr. Raul Scarlat,Bremen,Germany,Aerospace / Earth Observation,https://www.marble-imaging.de,2023,medium,https://www.wfb-bremen.de/de/page/stories/LuRa/marble-imaging,Gopika Suresh is a co-founder/CSO with Kerala academic background; German company is based in Bremen.,pending,needs_manual_verification
ready-to-care,Ready to Care,Anila Thekkan,Düsseldorf,Germany,Healthcare Recruitment / Training,https://www.anila-thekkan.com,,high,https://www.anila-thekkan.com/,Founder states she was born in Germany to a nurse from Kerala and connects nurses from Kerala/India with German hospitals.,pending,needs_manual_verification
yoga-vihar-berlin,Yoga Vihar Berlin,Sivan Namboothiri,Berlin,Germany,Wellness / Yoga / Ayurveda,https://yogavihar.de,,high,https://yogavihar.de/en/acharyas-profile/,Official site identifies Sivan Namboothiri as founder/director and says he comes from Kerala.,pending,needs_manual_verification
markenx,MarkenX.de,Adarsh Cheruvachundayil,Berlin,Germany,Marketing / Digital,,,medium,https://de.linkedin.com/in/adarsh-cheruvachundayil-60b153233,"LinkedIn identifies Adarsh as co-founder/head of sales in Berlin and shows Kozhikode, Kerala as prior location.",pending,needs_manual_verification
acsia-systems-deutschland,Acsia Systems Deutschland GmbH,Jijimon Aloth Chandran,Munich,Germany,Automotive Software / Mobility / AI,https://www.acsiatech.com,2025,medium,https://www.companyhouse.de/Acsia-Systems-Deutschland-GmbH-Muenchen,German entity leadership/ownership connected to Kerala-founded Acsia; verify founder vs German-subsidiary role.,pending,needs_manual_verification
hire-and-care,Hire and Care DP GmbH,Sabarish Saravanan Panicker; Biju Thamarakunnil Subramanian,Berlin,Germany,Healthcare Recruitment / HR Tech,https://hireandcare.de,2020,high,https://hireandcare.de/about-us/,Official site identifies both as co-founders; company is registered in Berlin. Biju is a Kerala-origin healthcare professional.,pending,needs_manual_verification
eternal-ag,eternal.ag / EHT Eternal Horticulture Technologies GmbH,Renji Kuncheria John; Sherry Chiramattel Kunjachan,Cologne,Germany,Agritech / Robotics / AI,https://eternal.ag,2025,high,https://eternal.ag/en/news/press-release,Official company release says founded in 2025 by Renji John and Sherry Kunjachan; Sherry has University of Kerala background.,pending,needs_manual_verification
