business_name,founder_or_key_person
Araiya Malta Limited,Amruda Nair
Naan Bar,Amruda Nair
MÉZ Indo-Coastal Cuisine,Amruda Nair
Chatterbox,Amruda Nair
Indian Harvest,
The Mint Malta,
Silver Spoon Indian Restaurant,
Village Food,
New Madras Restaurant,
Namaste India Malta,
AWM Indian Food and Grocery Store Malta,
Little India Grocery & Convenience Shop,Mr. Srinivasan
Punjab Indian Grocery Store,
Chef Michael Paul Zachariah,Michael Paul Zachariah
Bismillah Cash and Carry,
Taj Mahal Indian Kitchen,Chantelle Attard
Spicee Hutt,
Tikka Masala b'Kara,
Garam Tikka Masala,
