slug,name,founder_names,city,country,industry,website,founded_year,research_confidence,source_url,research_notes,status,verification_status
cied-bv-rightorigins,CIED B.V. / RightOrigins,Akash Mathew; Sudeesh Narayanan,Heerlen,Netherlands,AI / AgTech / Supply Chain / Sustainability,https://rightorigins.com,2017,very high,https://rightorigins.com/about-cied,Dutch CIED BV founded by Akash Mathew and Sudeesh Narayanan; Kerala/Kochi connection.,pending,needs_manual_verification
loopit-ai,LoopIt.ai,Paul Varghese,Best / Eindhoven,Netherlands,AI / Automotive / InsurTech,,2024,very high,https://nl.linkedin.com/in/paulvarghese1996/nl,"Founder & CEO Paul Varghese explicitly identifies as originally from Alleppey, Kerala.",pending,needs_manual_verification
codelattice-netherlands,Codelattice,Vijith Sivadasan,Netherlands,Netherlands,AI / Software / Digital,https://www.codelattice.com,,high,https://www.codelattice.com/leadership,Kerala-founded technology company with Netherlands operations.,pending,needs_manual_verification
charlies-pickles,Charlie's Pickles,Tony John,Amsterdam,Netherlands,Food / Consumer,https://charliespickles.com,2026,very high,https://charliespickles.com/pages/tony,Amsterdam-based founder; family recipe and heritage trace to Trivandrum/Kerala.,pending,needs_manual_verification
fudd-marketing,Fudd Marketing & Communications,Adil Latheef,Almere / Amsterdam,Netherlands,Digital / Food Marketing,,,medium,https://www.linkedin.com/,Founder/company relationship and Kerala connection require manual verification.,pending,needs_manual_verification
dot-in,DOT-IN,Shibin Mathew,Amsterdam,Netherlands,Restaurant / Kerala Food,,,medium,https://www.linkedin.com/company/dot-inrestaurant,Kerala restaurant in Amsterdam; founder/owner and Kerala origin require final verification.,pending,needs_manual_verification
mindful-yogis,Mindful Yogis,Karthikeyan Sethuraman,Amsterdam,Netherlands,Wellness / Yoga,,,medium,https://www.linkedin.com/,Netherlands-based founder with reported Kerala connection; verify before publication.,pending,needs_manual_verification
rightorigins-foundation,Right Origins Foundation,Akash Mathew; Sudeesh Narayanan,Heerlen,Netherlands,Sustainability / Social Enterprise,https://rightoriginsfoundation.org,,high,https://rightoriginsfoundation.org/pages/about-history/,Same founder ecosystem as CIED; review whether foundations are included.,pending,needs_manual_verification
beta-group,Beta Group,J. Rajmohan Pillai,Netherlands,Netherlands,Food Manufacturing / Cashew / Distribution / Logistics / Trading,,,very high,https://en.wikipedia.org/wiki/Rajmohan_Pillai,Kerala-born founder; educated in Trivandrum; Netherlands-based international business group.,pending,needs_manual_verification
sreekrishna-ayurveda,Sreekrishna Ayurveda Holistic Centre B.V.,Dr. Vijith Sasidhar,Amsterdam,Netherlands,Healthcare / Ayurveda / Wellness,https://sreekrishnaayurveda.com,,very high,https://sreekrishnaayurveda.com/about-us-in-amsterdam/,Kerala Ayurveda founder background and Amsterdam centre.,pending,needs_manual_verification
adukkala,Adukkala – The Kerala Kitchen,Sangeetha; Gourie,Nieuwegein,Netherlands,Restaurant / Catering / Cloud Kitchen,https://adukkala.nl,,high,https://adukkala.nl/,Founders moved to Netherlands and started a Kerala food business based on the food they grew up with.,pending,needs_manual_verification
solarbase,Solarbase,Muhammed Rabeeh,Egmond aan Zee,Netherlands,Solar / Renewable Energy / Engineering,,,high,https://www.signalhire.com/profiles/muhammed-rabeeh%27s-email/179975208,Founder/CEO with Kerala engineering education; manual company verification recommended.,pending,needs_manual_verification
kerala-kitchen-eindhoven,Kerala Kitchen Eindhoven,Reema Cherian,Eindhoven,Netherlands,Restaurant / Catering,,2020,high,https://www.oozo.nl/bedrijven/eindhoven/stadsdeel-tongelre/muschberg-geestenberg/2006588/kerala-kitchen,Local source identifies Reema Cherian as entrepreneur behind the Eindhoven Kerala food business.,pending,needs_manual_verification
nestabide,NestAbide,Nanma Gireesh; Ben K George,Delft / Netherlands ecosystem,Netherlands,Construction / Architecture / Climate Resilience,https://nestabide.com,,high,https://nestabide.com/about-us,Kerala-founded company with Netherlands/TU Delft presence; not Dutch-founded.,pending,needs_manual_verification
netherlands-food-candidate,Netherlands Kerala food business candidate,Owner to verify,Netherlands,Netherlands,Restaurant / Food & Beverage,,,low,,Candidate from restaurant research; owner/founder and Kerala origin require verification.,pending,needs_manual_verification
netherlands-medical-candidate,Kerala-origin medical practice candidate,Doctor/owner to verify,Netherlands,Netherlands,Medicine / Medical Practice,,,low,,Candidate from healthcare searches; founder/owner and Kerala origin require verification.,pending,needs_manual_verification
netherlands-logistics-candidate,Kerala-origin logistics candidate,Owner/founder to verify,Netherlands,Netherlands,Logistics / Import-Export / Transport,,,low,,Candidate from logistics searches; requires company and founder verification.,pending,needs_manual_verification
netherlands-construction-candidate,Kerala-origin construction candidate,Owner/founder to verify,Netherlands,Netherlands,Construction / Building Materials,,,low,,Candidate from construction searches; requires company and founder verification.,pending,needs_manual_verification
netherlands-manufacturing-candidate,Kerala-origin manufacturing candidate,Owner/founder to verify,Netherlands,Netherlands,Manufacturing / Machinery / Engineering,,,low,,Candidate from manufacturing searches; requires company and founder verification.,pending,needs_manual_verification
