slug,name,city,country,industry,website,founded_year,founder_names
pepper-leaf,Pepper Leaf,Kraków,Poland,Restaurant / Kerala Food,https://www.pepperleaf.pl/,,Four IT engineers from Kerala
kerala2krakow,Kerala2Krakow (K2K) Restaurant,Kraków,Poland,Restaurant / Kerala Food,https://k2krestaurant.com,,Lijo Philip
kalikut-1498,Kalikut 1498,Kraków,Poland,Food / Consumer,,,Lijo Philip
kerala-cash-and-carry,Kerala Cash and Carry,Kraków,Poland,Kerala Grocery / Food Retail / Online Retail,,,Lijo Philip
malayali-beer,MALAYALI,Warsaw,Poland,Food / Consumer,https://malayali.rocks/,,Chandramohan Nallur;Sargheve Sukumaran;Pradeep Kumar Nayar;Padma Kumar Chungath Karunakaran
mercado360-ayurvod,Mercado 360 / Ayurvod,Warsaw,Poland,Professional Services,https://www.mercado360.eu/,,Midhun Mohan V.M.
united-kerala-international,United Kerala International Sp. z o.o.,Kraków,Poland,Business / Immigration Services,,,Wasim Akram Nazeer Reena;Leo Kolady Babu
madras-bistro,Madras Bistro,Kraków,Poland,Restaurant / South Indian / Kerala Food,https://madrasbistro.pl/,,Livin Victor
kera-oriental,KERA Oriental,Kraków,Poland,Healthcare / Ayurveda / Wellness,https://www.keraoriental.pl/,,Rejit Jose
ayura-ayurveda,Ayura Ayurveda,Kraków,Poland,Healthcare / Ayurveda / Wellness,,,Dr Vijesh M.
