business_name,website
Pepper Leaf,https://www.pepperleaf.pl/
Kerala2Krakow (K2K) Restaurant,https://k2krestaurant.com
Kalikut 1498 / Lijo Philip Brands Poland,
Kerala Cash and Carry (Lijo Philip venture),
MALAYALI Beer / Malayali,https://malayali.rocks/
MALAYALI SPIRITIS INTERNATIONAL Sp. z o.o.,
Mercado 360 / Ayurvod,https://www.mercado360.eu/
Swapp!,https://swapp.zone/
United Kerala International Sp. z o.o.,
Madras Bistro,https://madrasbistro.pl/
Royal Curry Indian Cuisine,
KERA Oriental,https://www.keraoriental.pl/
Ayura Ayurveda,
Exploreain Tours & Travels,https://exploreain.com/
Wędlinka sp.j. PHU,
Curry Leaves,
Curry Leaves,
Indian Spice House,https://www.indianspicehouse.pl/
Mama Indii,
Curry Leaves,https://curryleaves.pl
Kerala Kitchen,
