slug,name,city,country,industry,website,founded_year,founder_names
d2hire-recruitment,D2HIRE Recruitment Solutions S.R.L.,Ploiești,Romania,Business / Immigration Services,https://d2hire.com/,,Prijoy Mathew Thomas
naan-bar,Naan Bar,Valletta,Malta,Restaurant / Indian / South Indian,https://www.naanbar.com/,,Amruda Nair
mez-indo-coastal-cuisine,MÉZ Indo-Coastal Cuisine,St Julian's,Malta,Restaurant / South Indian / Kerala Food,https://mezrestaurants.com/,,Amruda Nair
chatterbox-malta,Chatterbox,St Paul's Bay,Malta,Restaurant / Indian / South Indian,https://www.araiyahotels.com/,,Amruda Nair
michael-paul-zachariah,Chef Michael Paul Zachariah,Floriana,Malta,Restaurant / Food & Beverage,,,Michael Paul Zachariah
kerala-exotic-supermarket,Kerala Exotic Supermarket,Bratislava,Slovakia,Kerala Grocery / Food Retail / Online Retail,https://keralasupermarket.sk/,,Avinash Vijayakumar;Jose Nilavoor
avn-kerala,AVN Kerala s.r.o.,Bratislava,Slovakia,Professional Services,,,Avinash Vijayakumar
ayaan-sro,AYAAN s.r.o.,Bratislava,Slovakia,Professional Services,,,Avinash Vijayakumar
euro-middle-east,Euro Middle East s.r.o.,Bratislava,Slovakia,Professional Services,,,Jamsheer Pengattiri
euroxis,EUROXIS s.r.o.,Bratislava,Slovakia,Professional Services,,,Jamsheer Pengattiri;Sagarkhan Kassim
euromaxis-pengattiri,Jamsheer Pengattiri - EUROMAXIS,Gabčíkovo,Slovakia,Retail / Consumer,,,Jamsheer Pengattiri
food-pack,FOOD PACK d.o.o.,Ljubljana,Slovenia,Restaurant / Food & Beverage,,,Julija Puthuveettil
bollywood-ljubljana,Bollywood,Ljubljana,Slovenia,Restaurant / Indian / South Indian,https://www.bollywood.si,,Ljubomir Petrović;Puthuveettil Nishabudheen
ila-and-co,ILA & Co.,Ljubljana,Slovenia,Startup Advisory / Innovation,,,Akhil Mathew
maya-ayurveda,Maya Ayurveda,Ljubljana,Slovenia,Healthcare / Ayurveda / Wellness,https://www.mayaayurveda.com/,,Dr. Siju Sukumaran
ega-vida-wellness,EGA VIDA WELLNESS,Domanjševci,Slovenia,Healthcare / Ayurveda / Wellness,https://www.egavida.eu,,Shiyas Hussain Sheriff Hussain
