business_name,website
MANNA INDIAN RESTAURANT,http://www.indijskarestavracija.si/
FOOD PACK d.o.o.,
Bollywood,https://www.bollywood.si
ILA & Co.,
HIFF Trade & Events Pvt. Ltd.,
KCK Engineering & Buildings,
GlobalPharmacia Group,
Masala Supermarket,
Kohinoor South Asian Groceries And Spices,
Namaste / Namaste Express / Namaste Corner,https://www.restavracija-namaste.si/
Maharaja & Himalaya,https://www.maharaja.si/
Maya Ayurveda,https://www.mayaayurveda.com/
EGA VIDA WELLNESS,https://www.egavida.eu
Taj Mahal Indian Restaurant,
Kashida Indian Grocery,
Suresh Kanot Babu,
